Algoritmo,Base de Dados,Tempo,Rotations,Height
Splay,1m desordenados,30073509,43123106,1500545
Splay,1m ordenados,18384899,70688645,283
Splay,1m ordernadosF,26884800,106068087,1137764
Splay,2m desordenados,41911591,176926648,1548
Splay,2m ordernados,6865688,195489341,3402139
Splay,2m ordernadosF,10941257,216660360,2264143
Splay,3m desordenados,34178972,241445311,564631
Splay,3m ordenados,37596869,293011171,1001
Splay,3m ordenadosF,9207396,302684742,1127956
Binary,1m desordenados,52215741,0,1627
Binary,1m ordenados,55206619,0,1628
Binary,1m ordernadosF,46684535,0,1628
Binary,2m desordenados,137973411,0,1629
Binary,2m ordernados,62309954,0,1630
Binary,2m ordernadosF,31835593,0,1630
Binary,3m desordenados,31346700,0,1630
Binary,3m ordenados,116116997,0,1631
Binary,3m ordenadosF,14666804,0,1631
rubro-negra,1m desordenados,3544551,3032802,38
rubro-negra,1m ordenados,1581684,1034815,27
rubro-negra,1m ordernadosF,1954103,2043887,36
rubro-negra,2m desordenados,4276244,3159471,30
rubro-negra,2m ordernados,1182977,2999960,40
rubro-negra,2m ordernadosF,1082205,1999961,39
rubro-negra,3m desordenados,865326,1007090,34
rubro-negra,3m ordenados,2639792,2095877,30
rubro-negra,3m ordenadosF,354893,999963,37
